file,alt_text,title,description
mf-amenity-cctv.svg,CCTV surveillance,CCTV surveillance,Mayfair icon: CCTV surveillance
mf-amenity-club.svg,Clubhouse,Clubhouse,Mayfair icon: Clubhouse
mf-amenity-garden.svg,Landscaped garden,Landscaped garden,Mayfair icon: Landscaped garden
mf-amenity-gym.svg,Gymnasium,Gymnasium,Mayfair icon: Gymnasium
mf-amenity-kids.svg,Children’s play area,Children’s play area,Mayfair icon: Children’s play area
mf-amenity-lift.svg,Lift access,Lift access,Mayfair icon: Lift access
mf-amenity-pool.svg,Swimming pool,Swimming pool,Mayfair icon: Swimming pool
mf-amenity-power.svg,Power backup,Power backup,Mayfair icon: Power backup
mf-amenity-security.svg,24-hour security,24-hour security,Mayfair icon: 24-hour security
mf-amenity-vastu.svg,Vastu compliant,Vastu compliant,Mayfair icon: Vastu compliant
mf-amenity-water.svg,24-hour water supply,24-hour water supply,Mayfair icon: 24-hour water supply
mf-amenity-wifi.svg,Wi-Fi ready,Wi-Fi ready,Mayfair icon: Wi-Fi ready
mf-property-apartment.svg,Apartment,Apartment,Mayfair icon: Apartment
mf-property-area.svg,Built-up area,Built-up area,Mayfair icon: Built-up area
mf-property-bath.svg,Bathrooms,Bathrooms,Mayfair icon: Bathrooms
mf-property-bed.svg,Bedrooms,Bedrooms,Mayfair icon: Bedrooms
mf-property-door.svg,Independent entrance,Independent entrance,Mayfair icon: Independent entrance
mf-property-facing.svg,Facing direction,Facing direction,Mayfair icon: Facing direction
mf-property-floor.svg,Floor number,Floor number,Mayfair icon: Floor number
mf-property-furnished.svg,Furnished,Furnished,Mayfair icon: Furnished
mf-property-key.svg,Ready to move in,Ready to move in,Mayfair icon: Ready to move in
mf-property-office.svg,Office space,Office space,Mayfair icon: Office space
mf-property-parking.svg,Car parking,Car parking,Mayfair icon: Car parking
mf-property-penthouse.svg,Penthouse,Penthouse,Mayfair icon: Penthouse
mf-property-plot.svg,Residential plot,Residential plot,Mayfair icon: Residential plot
mf-property-possession.svg,Possession date,Possession date,Mayfair icon: Possession date
mf-property-shop.svg,Commercial shop,Commercial shop,Mayfair icon: Commercial shop
mf-property-villa.svg,Villa,Villa,Mayfair icon: Villa
mf-property-warehouse.svg,Warehouse,Warehouse,Mayfair icon: Warehouse
mf-services-agent.svg,Property advisor,Property advisor,Mayfair icon: Property advisor
mf-services-buy-home.svg,Buy a home,Buy a home,Mayfair icon: Buy a home
mf-services-calculator.svg,Cost calculator,Cost calculator,Mayfair icon: Cost calculator
mf-services-calendar-days.svg,Schedule a visit,Schedule a visit,Mayfair icon: Schedule a visit
mf-services-chart.svg,Market trends,Market trends,Mayfair icon: Market trends
mf-services-consult-chat.svg,Free consultation,Free consultation,Mayfair icon: Free consultation
mf-services-handover.svg,Key handover,Key handover,Mayfair icon: Key handover
mf-services-invest-chart.svg,Property investment,Property investment,Mayfair icon: Property investment
mf-services-lightbulb.svg,Expert advice,Expert advice,Mayfair icon: Expert advice
mf-services-loan.svg,Home loan assistance,Home loan assistance,Mayfair icon: Home loan assistance
mf-services-map.svg,Locality map,Locality map,Mayfair icon: Locality map
mf-services-negotiate-scale.svg,Fair negotiation,Fair negotiation,Mayfair icon: Fair negotiation
mf-services-paperwork-file.svg,Documentation support,Documentation support,Mayfair icon: Documentation support
mf-services-percent.svg,Returns and yield,Returns and yield,Mayfair icon: Returns and yield
mf-services-pie.svg,Portfolio mix,Portfolio mix,Mayfair icon: Portfolio mix
mf-services-portfolio-briefcase.svg,Investment portfolio,Investment portfolio,Mayfair icon: Investment portfolio
mf-services-rent-key.svg,Rent a property,Rent a property,Mayfair icon: Rent a property
mf-services-route.svg,Site directions,Site directions,Mayfair icon: Site directions
mf-services-sell-tag.svg,Sell your property,Sell your property,Mayfair icon: Sell your property
mf-services-site-visit-car.svg,Site visit,Site visit,Mayfair icon: Site visit
mf-services-target.svg,Right-fit property,Right-fit property,Mayfair icon: Right-fit property
mf-services-team.svg,Mayfair team,Mayfair team,Mayfair icon: Mayfair team
mf-services-valuation-rupee.svg,Free property valuation in rupees,Free property valuation in rupees,Mayfair icon: Free property valuation in rupees
mf-services-wallet.svg,Budget planning,Budget planning,Mayfair icon: Budget planning
mf-social-facebook.svg,Facebook,Facebook,Mayfair icon: Facebook
mf-social-google.svg,Google Business Profile,Google Business Profile,Mayfair icon: Google Business Profile
mf-social-instagram.svg,Instagram,Instagram,Mayfair icon: Instagram
mf-social-linkedin.svg,LinkedIn,LinkedIn,Mayfair icon: LinkedIn
mf-social-whatsapp.svg,WhatsApp,WhatsApp,Mayfair icon: WhatsApp
mf-social-x.svg,X (Twitter),X (Twitter),Mayfair icon: X (Twitter)
mf-social-youtube.svg,YouTube,YouTube,Mayfair icon: YouTube
mf-ui-alert.svg,Important notice,Important notice,Mayfair icon: Important notice
mf-ui-arrow-right.svg,Arrow right,Arrow right,Mayfair icon: Arrow right
mf-ui-arrow-up-right.svg,Opens link,Opens link,Mayfair icon: Opens link
mf-ui-bell.svg,Property alerts,Property alerts,Mayfair icon: Property alerts
mf-ui-calendar.svg,Calendar,Calendar,Mayfair icon: Calendar
mf-ui-check-circle.svg,Verified,Verified,Mayfair icon: Verified
mf-ui-check.svg,Included,Included,Mayfair icon: Included
mf-ui-chevron-down.svg,Expand,Expand,Mayfair icon: Expand
mf-ui-chevron-right.svg,Next,Next,Mayfair icon: Next
mf-ui-clock.svg,Office hours,Office hours,Mayfair icon: Office hours
mf-ui-close.svg,Close,Close,Mayfair icon: Close
mf-ui-compare.svg,Compare properties,Compare properties,Mayfair icon: Compare properties
mf-ui-download.svg,Download,Download,Mayfair icon: Download
mf-ui-external-link.svg,External link,External link,Mayfair icon: External link
mf-ui-filter.svg,Filter results,Filter results,Mayfair icon: Filter results
mf-ui-globe.svg,Website,Website,Mayfair icon: Website
mf-ui-heart.svg,Save property,Save property,Mayfair icon: Save property
mf-ui-image.svg,Photo gallery,Photo gallery,Mayfair icon: Photo gallery
mf-ui-info.svg,More information,More information,Mayfair icon: More information
mf-ui-mail.svg,Email,Email,Mayfair icon: Email
mf-ui-map-pin.svg,Office location,Office location,Mayfair icon: Office location
mf-ui-menu.svg,Menu,Menu,Mayfair icon: Menu
mf-ui-phone-call.svg,Call now,Call now,Mayfair icon: Call now
mf-ui-phone.svg,Phone,Phone,Mayfair icon: Phone
mf-ui-play.svg,Play video,Play video,Mayfair icon: Play video
mf-ui-quote.svg,Client testimonial,Client testimonial,Mayfair icon: Client testimonial
mf-ui-search.svg,Search properties,Search properties,Mayfair icon: Search properties
mf-ui-share.svg,Share,Share,Mayfair icon: Share
mf-ui-star.svg,Rating,Rating,Mayfair icon: Rating
mf-verified-award.svg,Award-winning service,Award-winning service,Mayfair icon: Award-winning service
mf-verified-badge-verified.svg,Verified listing,Verified listing,Mayfair icon: Verified listing
mf-verified-building-project.svg,Mayfair project,Mayfair project,Mayfair icon: Mayfair project
mf-verified-clipboard.svg,Due-diligence checklist,Due-diligence checklist,Mayfair icon: Due-diligence checklist
mf-verified-document.svg,Verified documents,Verified documents,Mayfair icon: Verified documents
mf-verified-eye.svg,Personally inspected,Personally inspected,Mayfair icon: Personally inspected
mf-verified-file-check-rera.svg,Registration checked,Registration checked,Mayfair icon: Registration checked
mf-verified-handshake-developer.svg,Developer and channel partner,Developer and channel partner,Mayfair icon: Developer and channel partner
mf-verified-list-checks.svg,Checks completed,Checks completed,Mayfair icon: Checks completed
mf-verified-lock.svg,Secure transaction,Secure transaction,Mayfair icon: Secure transaction
mf-verified-map-pin-gurugram.svg,Gurugram only,Gurugram only,Mayfair icon: Gurugram only
mf-verified-registry.svg,Registry support,Registry support,Mayfair icon: Registry support
mf-verified-shield-rera.svg,Title verified,Title verified,Mayfair icon: Title verified
mf-verified-since-1999.svg,Since 1999,Since 1999,Mayfair icon: Since 1999
mf-verified-stamp.svg,Approved,Approved,Mayfair icon: Approved
