file,alt_text,title,caption
categories/commercial-600x800.webp,Glass-front commercial office building in Gurugram,Glass-front commercial office building in Gurugram,"AI placeholder, replace with real photo"
categories/commercial-900x1200.webp,Glass-front commercial office building in Gurugram,Glass-front commercial office building in Gurugram,"AI placeholder, replace with real photo"
categories/mansions-600x800.webp,Independent villa with lawn in Gurugram,Independent villa with lawn in Gurugram,"AI placeholder, replace with real photo"
categories/mansions-900x1200.webp,Independent villa with lawn in Gurugram,Independent villa with lawn in Gurugram,"AI placeholder, replace with real photo"
categories/plots-and-land-600x800.webp,Residential plot with boundary wall in Gurugram,Residential plot with boundary wall in Gurugram,"AI placeholder, replace with real photo"
categories/plots-and-land-900x1200.webp,Residential plot with boundary wall in Gurugram,Residential plot with boundary wall in Gurugram,"AI placeholder, replace with real photo"
categories/residential-600x800.webp,Residential apartment towers in Gurugram,Residential apartment towers in Gurugram,"AI placeholder, replace with real photo"
categories/residential-900x1200.webp,Residential apartment towers in Gurugram,Residential apartment towers in Gurugram,"AI placeholder, replace with real photo"
hero/hero-1200.webp,Residential towers beside a golf course in Gurugram at dusk,Residential towers beside a golf course in Gurugram at dusk,"AI placeholder, replace with real photo"
hero/hero-2400.webp,Residential towers beside a golf course in Gurugram at dusk,Residential towers beside a golf course in Gurugram at dusk,"AI placeholder, replace with real photo"
hero/hero-mobile-900x1125.webp,Residential towers beside a golf course in Gurugram at dusk,Residential towers beside a golf course in Gurugram at dusk,"AI placeholder, replace with real photo"
listings/listing-01-4bhk-golf-course-road-1200x900.webp,"4 BHK apartment living room, Golf Course Road, Gurugram",4 BHK apartment living room,"AI placeholder, replace with real photo"
listings/listing-01-4bhk-golf-course-road-800x600.webp,"4 BHK apartment living room, Golf Course Road, Gurugram",4 BHK apartment living room,"AI placeholder, replace with real photo"
listings/listing-02-builder-floor-dlf-phase-3-1200x900.webp,"Builder floor exterior, DLF Phase 3, Gurugram",Builder floor exterior,"AI placeholder, replace with real photo"
listings/listing-02-builder-floor-dlf-phase-3-800x600.webp,"Builder floor exterior, DLF Phase 3, Gurugram",Builder floor exterior,"AI placeholder, replace with real photo"
listings/listing-03-penthouse-golf-course-ext-1200x900.webp,"Penthouse terrace, Golf Course Extension Road, Gurugram",Penthouse terrace,"AI placeholder, replace with real photo"
listings/listing-03-penthouse-golf-course-ext-800x600.webp,"Penthouse terrace, Golf Course Extension Road, Gurugram",Penthouse terrace,"AI placeholder, replace with real photo"
listings/listing-04-villa-sohna-road-1200x900.webp,"Independent villa, Sohna Road, Gurugram",Independent villa,"AI placeholder, replace with real photo"
listings/listing-04-villa-sohna-road-800x600.webp,"Independent villa, Sohna Road, Gurugram",Independent villa,"AI placeholder, replace with real photo"
